English Word,French Translation,Type,Meaning 
Fantasticism,Fantasme,n.,The quality of being fantastical; fancifulness; whimsicality.
Fantasticly,Fantastiquement,adv.,Fantastically.
Fantasticness,Fantasme,n.,Fantasticalness.
Fantasticco,Fantastique,n.,A fantastic.
Fantasies,Fantasmes,pl. ,of Fantasy
Fantasy,Fantaisie,n.,"Fancy; imagination; especially, a whimsical or fanciful conception; a vagary of the imagination; whim; caprice; humor."
Fantoccini,Fantoccini,n. pl.,"Puppets caused to perform evolutions or dramatic scenes by means of machinery; also, the representations in which they are used."
Fantom,Fantome,n.,See Phantom.
Fap,fap,a.,Fuddled.
Faquir,Faquir,n.,See Fakir.
Far,Loin,n.,"A young pig, or a litter of pigs."
Farabout,Loin,n.,A going out of the way; a digression.
Farad,Farad,n.,"The standard unit of electrical capacity; the capacity of a condenser whose charge, having an electro-motive force of one volt, is equal to the amount of electricity which, with the same electromotive force, passes through one ohm in one second; the capacity, which, charged with one coulomb, gives an electro-motive force of one volt."
Faradic,faradique,a.,"Of or pertaining to Michael Faraday, the distinguished electrician; -- applied especially to induced currents of electricity, as produced by certain forms of inductive apparatus, on account of Faraday's investigations of their laws."
Faradism,Faradisme,n.,Alt. of Faradization
Faradization,Faradisation,n.,The treatment with faradic or induced currents of electricity for remedial purposes.
Farand,Farand,n.,"See Farrand, n."
Farandams,Farandams,n.,A fabrik made of silk and wool or hair.
Farantly,Farantly,a.,Orderly; comely; respectable.
Farced,Farced,imp. & p. p.,of Farce
Farcing,Farce,p. pr. & vb. n.,of Farce
Farce,Farce,v. t.,"To stuff with forcemeat; hence, to fill with mingled ingredients; to fill full; to stuff."
Farcement,Farcement,n.,Stuffing; forcemeat.
Farcical,Grotesque,a.,Pertaining to farce; appropriated to farce; ludicrous; unnatural; unreal.
Farcilite,Farcilite,n.,Pudding stone.
Farcimen,Farcimen,n.,Alt. of Farcin
Farcin,Farcin,n.,Same as Farcy.
Farctate,Farctate,v. t.,"Stuffed; filled solid; as, a farctate leaf, stem, or pericarp; -- opposed to tubular or hollow."
Farcy,Farcy,n.,"A contagious disease of horses, associated with painful ulcerating enlargements, esp. upon the head and limbs. It is of the same nature as glanders, and is often fatal. Called also farcin, and farcimen."
Fard,Fard,n.,Paint used on the face.
Fardage,Fardage,n.,See Dunnage.
Fardel,Fardel,n.,"A bundle or little pack; hence, a burden."
Farding-bag,Farding-sac,n.,"The upper stomach of a cow, or other ruminant animal; the rumen."
Fardingdale,Fardingdale,n.,A farthingale.
Fardingdeal,Fardingdeal,n.,The fourth part of an acre of land.
Fared,Fared,imp. & p. p.,of Fare
Faring,Faring,p. pr. & vb. n.,of Fare
Fare,Tarif,n.,To go; to pass; to journey; to travel.
Faren,Faren,,"p. p. of Fare, v. i."
Farewell,Adieu,interj.,"Go well; good-by; adieu;  -- originally applied to a person departing, but by custom now applied both to those who depart and those who remain. It is often separated by the pronoun; as, fare you well; and is sometimes used as an expression of separation only; as, farewell the year; farewell, ye sweet groves; that is, I bid you farewell."
Farfet,Farfet,p. p.,Farfetched.
Farfetch,Farfetch,v. t.,To bring from far; to seek out studiously.
Farfetched,Farfelu,a.,"Brought from far, or from a remote place."
Farina,Farine,n.,"A fine flour or meal made from cereal grains or from the starch or fecula of vegetables, extracted by various processes, and used in cookery."
Farinaceous,Farinacée,a.,"Consisting or made of meal or flour; as, a farinaceous diet."
Farinose,Farinose,a.,"Yielding farinaa; as, farinose substances."
Farl,Farl,v. t.,Same as Furl.
Farlie,Farlie,n.,An unusual or unexpected thing; a wonder. See Fearly.
Farm,Cultiver,a. & n.,"The rent of land, -- originally paid by reservation of part of its products."
Farmed,Élevage,imp. & p. p.,of Farm
Farming,Agriculture,p. pr. & vb. n.,of Farm
Farmable,Cultivable,a.,Capable of being farmed.
Farmer,Agriculteur,n.,One who farms
Farmeress,Fermière,n.,A woman who farms.
Farmership,L'agriculture,n.,Skill in farming.
Farmery,Ferme,n.,The buildings and yards necessary for the business of a farm; a homestead.
Farmhouse,Ferme,n.,A dwelling house on a farm; a farmer's residence.
Farmost,Farmost,a.,Most distant; farthest.
Farmstead,Ferme,n.,A farm with the building upon it; a homestead on a farm.
Farmsteading,Ferme,n.,A farmstead.
Farmyard,Cour de ferme,n.,"The yard or inclosure attached to a barn, or the space inclosed by the farm buildings."
Farness,Farness,a.,The state of being far off; distance; remoteness.
Faro,Faro,n.,"A gambling game at cardds, in whiich all the other players play against the dealer or banker, staking their money upon the order in which the cards will lie and be dealt from the pack."
Faroese,féroïen,n. sing. & pl.,"An inhabitant, or, collectively, inhabitants, of the Faroe islands."
Far-off,Au loin,a.,"Remote; as, the far-off distance.  Cf. Far-off, under Far, adv."
Farraginous,Farragineux,a.,"Formed of various materials; mixed; as, a farraginous mountain."
Farrago,Farrago,n.,A mass composed of various materials confusedly mixed; a medley; a mixture.
Farrand,Farrand,n.,Manner; custom; fashion; humor.
Farreation,Farréation,n.,Same as Confarreation.
Farrier,Maréchal-ferrant,n.,A shoer of horses; a veterinary surgeon.
Farriery,Maréchalerie,n.,The art of shoeing horses.
Farrow,Mettre bas,n.,A little of pigs.
Farrowed,Mise bas,imp. & p. p.,of Farfow
Farrowing,Mise bas,p. pr. & vb. n.,of Farfow
Farfow,Lointain,v. t. & i.,To bring forth (young); -- said only of swine.
Farry,Farry,n.,A farrow.
Farse,farse,n.,"An addition to, or a paraphrase of, some part of the Latin service in the vernacular; -- common in English before the Reformation."
Farseeing,Clairvoyant,a.,Able to see to a great distance; farsighted.
Farsighted,Hypermétrope,a.,"Seeing to great distance; hence, of good judgment regarding the remote effects of actions; sagacious."
Farsightedness,Presbytie,n.,Quality of bbeing farsighted.
Farstretched,étiré,a.,Streatched beyond ordinary limits.
Farther,Plus loin,superl.,More remote; more distant than something else.
Fartherance,Fartherance,n.,See Furtherance.
Farthermore,De plus,adv.,See Furthermore.
Farthermost,Le plus éloigné,a.,Most remote; farthest.
Farthest,Le plus éloigné,Superl.,"Most distant or remote; as, the farthest degree.  See Furthest."
Farthing,Farthing,n.,"The fourth of a penny; a small copper coin of Great Britain, being a cent in United States currency."
Farthingale,Farthingale,n.,"A hoop skirt or hoop petticoat, or other light, elastic material, used to extend the petticoat."
Fasces,faisceaux,pl.,"A bundle of rods, having among them an ax with the blade projecting, borne before the Roman magistrates as a badge of their authority."
Fascet,Fascette,n.,"A wire basket on the end of a rod to carry glass bottles, etc., to the annealing furnace; also, an iron rod to be thrust into the mouths of bottles, and used for the same purpose; -- called also pontee and punty."
Fasciae,Fascia,pl. ,of Fascia
Fascia,fascia,n.,"A band, sash, or fillet; especially, in surgery, a bandage or roller."
Fascial,Fascial,a.,Pertaining to the fasces.
Fasciate,Fasciate,a.,Alt. of Fasciated
Fasciated,Fascié,a.,"Bound with a fillet, sash, or bandage."
Fasciation,fascination,n.,"The act or manner of binding up; bandage; also, the condition of being fasciated."
Fascicle,Fascicule,n.,"A small bundle or collection; a compact cluster; as, a fascicle of fibers; a fascicle of flowers or roots."
Fascicled,fasciculé,a.,"Growing in a bundle, tuft, or close cluster; as, the fascicled leaves of the pine or larch; the fascicled roots of the dahlia; fascicled muscle fibers; fascicled tufts of hair."
Fascicular,Fasciculaire,a.,"Pertaining to a fascicle; fascicled; as, a fascicular root."
Fascicularly,Fasciculairement,adv.,In a fascicled manner.
Fasciculate,Fasciculer,a.,Alt. of Fasciculated
Fasciculated,Fasciculé,a.,Grouped in a fascicle; fascicled.
Fasciculi,fascicules,pl. ,of Fasciculus
Fasciculus,fascicule,n.,A little bundle; a fascicle.
Fascinated,Fasciné,imp. & p. p.,of Fascinate
Fascinating,Fascinant,p. pr. & vb. n.,of Fascinate
Fascinate,Fasciner,v. t.,To influence in an uncontrollable manner; to operate on by some powerful or irresistible charm; to bewitch; to enchant.
Fascination,Fascination,n.,"The act of fascinating, bewhiching, or enchanting; enchantment; witchcraft; the exercise of a powerful or irresistible influence on the affections or passions; unseen, inexplicable influence."
Fascine,Fascine,n.,"A cylindrical bundle of small sticks of wood, bound together, used in raising batteries, filling ditches, strengthening ramparts, and making parapets; also in revetments for river banks, and in mats for dams, jetties, etc."
Fascinous,Fascinant,a.,Caused or acting by witchcraft.
Fasciolae,Fasciolae,pl. ,of Fasciola
Fasciola,Fasciola,n.,A band of gray matter bordering the fimbria in the brain; the dentate convolution.
Fasciole,Fasciole,n.,"A band of minute tubercles, bearing modified spines, on the shells of spatangoid sea urchins. See Spatangoidea."
Fashed,Façonné,imp. & p. p.,of Fash
Fashing,clignotant,p. pr. & vb. n.,of Fash
Fash,Fash,v. t.,To vex; to tease; to trouble.
Fashion,Mode,n.,"The make or form of anything; the style, shape, appearance, or mode of structure; pattern, model; as, the fashion of the ark, of a coat, of a house, of an altar, etc.; workmanship; execution."
Fashioned,Façonné,imp. & p. p.,of Fashion
Fashioning,Façonnage,p. pr. & vb. n.,of Fashion
Fashionable,À la mode,a.,"Conforming to the fashion or established mode; according with the prevailing form or style; as, a fashionable dress."
Fashionableness,Mode,n.,State of being fashionable.
Fashionably,À la mode,adv.,In a fashionable manner.
Fashioner,Fashioner,n.,"One who fashions, forms, ar gives shape to anything."
Fashionist,Fashioniste,n.,An obsequious follower of the modes and fashions.
Fashionless,Sans mode,a.,Having no fashion.
Fashion-monger,marchand de mode,n.,One who studies the fashions; a fop; a dandy.
Fashion-mongering,La mode,a.,Behaving like a fashion-monger.
Fassaite,Fassaite,n.,"A variety of pyroxene, from the valley of Fassa, in the Tyrol."
Fasted,Jeûné,imp. & p. p.,of Fast
Fasting,Jeûne,p. pr. & vb. n.,of Fast
Fast,Rapide,v. i.,To abstain from food; to omit to take nourishment in whole or in part; to go hungry.
Fastened,Attaché,imp. & p. p.,of Fasten
Fastening,Fixation,p. pr. & vb. n.,of Fasten
Fasten,Boucler,a.,"To fix firmly; to make fast; to secure, as by a knot, lock, bolt, etc.; as, to fasten a chain to the feet; to fasten a door or window."
Fastener,Attache,n.,"One who, or that which, makes fast or firm."
Faster,Plus rapide,n.,One who abstains from food.
Fast-handed,Rapide,a.,Close-handed; close-fisted; covetous; avaricious.
Fasti,Fasti,n.pl.,"The Roman calendar, which gave the days for festivals, courts, etc., corresponding to a modern almanac."
Fastidiosity,fastidiosité,n.,Fastidiousness; squeamishness.
Fastidious,Délicat,a.,"Difficult to please; delicate to a fault; suited with difficulty; squeamish; as, a fastidious mind or ear; a fastidious appetite."
Fastigiate,Fastigier,a.,Alt. of Fastigiated
Fastigiated,Fastigié,a.,Narrowing towards the top.
Fastish,Jeûne,a.,"Rather fast; also, somewhat dissipated."
Fastly,Rapidement,adv.,Firmly; surely.
Fastness,Solidité,a.,The state of being fast and firm; firmness; fixedness; security; faithfulness.
Fastuous,fastueux,a.,Proud; haughty; disdainful.
Fat,Gros,n.,"A large tub, cistern, or vessel; a vat."
Fatted,gras,imp. & p. p.,of Fat
atting,atting,p. pr. & vb. n.,of Fat
Fatal,Fatal,a.,"Proceeding from, or appointed by, fate or destiny; necessary; inevitable."
Fatalism,Fatalisme,n.,"The doctrine that all things are subject to fate, or that they take place by inevitable necessity."
Fatalist,Fataliste,n.,One who maintains that all things happen by inevitable necessity.
Fatalistic,Fataliste,a.,"Implying, or partaking of the nature of, fatalism."
Fatalities,Décès,pl. ,of Fatality
Fatality,Fatalité,n.,"The state of being fatal, or proceeding from destiny; invincible necessity, superior to, and independent of, free and rational control."
Fatally,Mortellement,adv.,"In a manner proceeding from, or determined by, fate."
Fatalness,Fatalité,n.,Quality of being fatal.
Fata Morgana,Morgana,,"A kind of mirage by which distant objects appear inverted, distorted, displaced, or multiplied. It is noticed particularly at the Straits of Messina, between Calabria and Sicily."
Fatback,gros dos,n.,The menhaden.
Fat-brained,Gros cervelle,a.,Dull of apprehension.
Fate,Sort,n.,A fixed decree by which the order of things is prescribed; the immutable law of the universe; inevitable necessity; the force by which all existence is determined and conditioned.
Fated,Destin,p. p. & a.,"Decreed by fate; destined; doomed; as, he was fated to rule a factious people."
Fateful,Fatidique,a. .,Having the power of serving or accomplishing fate.
Fathead,tête-de-boule,n.,A cyprinoid fish of the Mississippi valley (Pimephales promelas); -- called also black-headed minnow.
Father,Père,n.,"One who has begotten a child, whether son or daughter; a generator; a male parent."
Fathered,Père,imp. & p. p.,of Father
Fathering,Paternité,p. pr. & vb. n.,of Father
Fatherhood,Paternité,n.,The state of being a father; the character or authority of a father; paternity.
Fathers-in-law,Les beaux-pères,pl. ,of Father-in-law
Father-in-law,Beau-père,n.,The father of one's husband or wife; -- correlative to son-in-law and daughter-in-law.
Fatherland,Patrie,n.,One's native land; the native land of one's fathers or ancestors.
Father-lasher,Père-lasher,n.,"A European marine fish (Cottus bubalis), allied to the sculpin; -- called also lucky proach."
Fatherless,Orphelin,a.,"Destitute of a living father; as, a fatherless child."
Fatherlessness,Absence de père,n.,The state of being without a father.
Fatherliness,Paternité,n.,"The qualities of a father; parantal kindness, care, etc."
Father longlegs,Père jambes longues,,"See Daddy longlegs, 2."
Fatherly,Paternel,a.,Like a father in affection and care; paternal; tender; protecting; careful.
Fathership,Paternité,n.,The state of being a father; fatherhood; paternity.
Fathom,Brasse,n.,"A measure of length, containing six feet; the space to which a man can extend his arms; -- used chiefly in measuring cables, cordage, and the depth of navigable water by soundings."
Fathomed,Sondé,imp. & p. p.,of Fathom
Fathoming,Sonder,p. pr. & vb. n.,of Fathom
Fathomable,Insondable,a.,Capable of being fathomed.
Fathomer,père,n.,One who fathoms.
Fathomless,Insondable,a.,Incapable of being fathomed; immeasurable; that can not be sounded.
Fatidical,Fatidique,a.,"Having power to foretell future events; prophetic; fatiloquent; as, the fatidical oak."
Fatiferous,Fatifère,a.,Fate-bringing; deadly; mortal; destructive.
Fatigable,Fatigable,a.,Easily tired.
Fatigate,Fatiguer,a.,Wearied; tired; fatigued.
Fatigation,Fatigue,n.,Weariness.
Fatigue,Fatigue,n.,Weariness from bodily labor or mental exertion; lassitude or exhaustion of strength.
Fatigued,Fatigué,imp. & p. p.,of Fatigue
Fatiguing,Fatigant,p. pr. & vb. n.,of Fatigue
Fatiloquent,Fatiloquent,a.,Prophetic; fatidical.
Fatiloquist,Fatiloquiste,n.,A fortune teller.
Fatimite,Fatimite,a.,Alt. of Fatimide
Fatimide,Fatimide,a.,"Descended from Fatima, the daughter and only child of Mohammed."
Fatiscence,la fatigue,n.,"A gaping or opening; state of being chinky, or having apertures."
Fat-kidneyed,Gros reins,a.,Gross; lubberly.
Fatling,Fatiguant,n.,"A calf, lamb, kid, or other young animal fattened for slaughter; a fat animal; -- said of such animals as are used for food."
Fatly,gras,adv.,Grossly; greasily.
Fatner,engraisseur,n.,One who fattens. [R.] See Fattener.
Fatness,Embonpoint,n.,"The quality or state of being fat, plump, or full-fed; corpulency; fullness of flesh."
Fattened,engraissé,imp. & p. p.,of Fatten
Fattining,Engraissement,p. pr. & vb. n.,of Fatten
Fatten,Engraisser,v. t.,To make fat; to feed for slaughter; to make fleshy or plump with fat; to fill full; to fat.
Fattener,Engraissement,n.,"One who, or that which, fattens; that which gives fatness or fertility."
Fattiness,l'embonpoint,n.,State or quality of being fatty.
Fattish,Gras,a.,Somewhat fat; inclined to fatness.
Fatty,gras,a.,"Containing fat, or having the qualities of fat; greasy; gross; as, a fatty substance."
Fatuitous,fatuité,a.,Stupid; fatuous.
Fatuity,Fatuité,n.,Weakness or imbecility of mind; stupidity.
Fatuous,Stupide,a.,Feeble in mind; weak; silly; stupid; foolish; fatuitous.
Fat-wited,Fatigué,a.,Dull; stupid.
Faubourg,Faubourg,n.,"A suburb of French city; also, a district now within a city, but formerly without its walls."
Faucal,Faucal,a.,"Pertaining to the fauces, or opening of the throat; faucial; esp., (Phon.) produced in the fauces, as certain deep guttural sounds found in the Semitic and some other languages."
Fauces,Gorge,n.pl.,"The narrow passage from the mouth to the pharynx, situated between the soft palate and the base of the tongue; -- called also the isthmus of the fauces.  On either side of the passage two membranous folds, called the pillars of the fauces, inclose the tonsils."
Faucet,Robinet,n.,"A fixture for drawing a liquid, as water, molasses, oil, etc., from a pipe, cask, or other vessel, in such quantities as may be desired; -- called also tap, and cock. It consists of a tubular spout, stopped with a movable plug, spigot, valve, or slide."
Fauchion,Fauchion,n.,See Falchion.
Faucial,Faucial,a.,Pertaining to the fauces; pharyngeal.
Faugh,Faugh,interj.,"An exclamation of contempt, disgust, or abhorrence."
Faulchion,Faulchion,n.,See Falchion.
Faulcon,Faulcon,n.,See Falcon.
Fauld,Faute,n.,The arch over the dam of a blast furnace; the tymp arch.
Faule,Faulé,n.,A fall or falling band.
Fault,La faute,n.,Defect; want; lack; default.
Faulted,Faute,imp. & p. p.,of Fault
Faulting,Faute,p. pr. & vb. n.,of Fault
Faulter,Faute,n.,One who commits a fault.
Fault-finder,Recherche de pannes,n.,One who makes a practice of discovering others' faults and censuring them; a scold.
Fault-finding,Trouver à redire,n.,The act of finding fault or blaming; -- used derogatively. Also Adj.
Faultful,Défectueux,a.,Full of faults or sins.
Faultily,Par défaut,adv.,In a faulty manner.
Faultiness,Défaut,n.,Quality or state of being faulty.
Faultless,Irréprochable,a.,"Without fault; not defective or imperfect; free from blemish; free from incorrectness, vice, or offense; perfect; as, a faultless poem."
Faulty,Défectueux,a.,"Containing faults, blemishes, or defects; imperfect; not fit for the use intended."
Faun,Faune,n.,"A god of fields and shipherds, diddering little from the satyr. The fauns are usually represented as half goat and half man."
Fauna,Faune,n.,"The animals of any given area or epoch; as, the fauna of America; fossil fauna; recent fauna."
Faunal,Faune,a.,Relating to fauna.
Faunist,Fauniste,n.,One who describes the fauna of country; a naturalist.
Fauni,Fauni,pl. ,of Faunus
Faunus,Faune,n.,See Faun.
Fausen,Fausen,n.,A young eel.
Fausse-braye,Fausse-braye,n.,"A second raampart, exterior to, and parallel to, the main rampart, and considerably below its level."
Fauteuil,Fauteuil,n.,"An armchair; hence (because the members sit in fauteuils or armchairs), membership in the French Academy."
Fautor,Fauteur,n.,A favorer; a patron; one who gives countenance or support; an abettor.
Fautress,Autres,n.,A patroness.
Fauvette,Fauvette,n.,"A small singing bird, as the nightingale and warblers."
Faux,Faux,n.,See Fauces.
faux pas,faux pas,,A false step; a mistake or wrong measure.
Favaginous,Favori,a.,"Formed like, or resembling, a honeycomb."
Favas,Favas,n.,"See Favus, n., 2."
Favel,Favel,a.,Yellow; fal/ow; dun.
Favella,favella,n.,"A group of spores arranged without order and covered with a thin gelatinous envelope, as in certain delicate red algae."
Faveolate,Faveolate,a.,"Honeycomb; having cavities or cells, somewhat resembling those of a honeycomb; alveolate; favose."
Favillous,Favilloux,a.,Of or pertaining to ashes.
Favonian,favonien,a.,Pertaining to the west wind; soft; mild; gentle.
Favor,Favoriser,n.,Kind regard; propitious aspect; countenance; friendly disposition; kindness; good will.
Favored,Favorisé,imp. & p. p.,of Favor
Favoring,Favoriser,p. pr. & vb. n.,of Favor
Favorable,Favorable,n.,Full of favor; favoring; manifesting partiality; kind; propitious; friendly.
Favoredly,Favorablement,adv.,In a favored or a favorable manner; favorably.
Favoredness,Faveur,n.,Appearance.
Favorer,Favorable,n.,One who favors; one who regards with kindness or friendship; a well-wisher; one who assists or promotes success or prosperity.
Favoress,Faveur,n.,A woman who favors or gives countenance.
Favorite,Favori,n.,"A person or thing regarded with peculiar favor; one treated with partiality; one preferred above others; especially, one unduly loved, trusted, and enriched with favors by a person of high rank or authority."
Favoritism,Favoritisme,n.,"The disposition to favor and promote the interest of one person or family, or of one class of men, to the neglect of others having equal claims; partiality."
Favorless,sans faveur,a.,Unfavored; not regarded with favor; having no countenance or support.
Favose,Favoris,a.,Honeycombed. See Faveolate.
Favosite,favori,a.,Like or pertaining to the genus Favosites.
Favosites,Favoris,n.,"A genus of fossil corals abundant in the Silurian and Devonian rocks, having polygonal cells with perforated walls."
Favus,Favus,n.,"A disease of the scalp, produced by a vegetable parasite."
Fawe,Fawe,a.,Fain; glad; delighted.
Fawkner,Fawkner,n.,A falconer.
Fawn,Faon,n.,A young deer; a buck or doe of the first year. See Buck.
Fawned,Faonné,imp. & p. p.,of Fawn
Fawning,béant,p. pr. & vb. n.,of Fawn
Fawn-colored,De couleur fauve,a.,Of the color of a fawn; light yellowish brown.
Fawner,Faon,n.,One who fawns; a sycophant.
Fawningly,gentiment,adv.,In a fawning manner.
Faxed,Télécopieur,a.,Hairy.
Fay,Fay,n.,A fairy; an elf.
fayed,fayed,imp. & p. p.,of Fay
Faying,Faying,p. pr. & vb. n.,of Fay
Fayalite,Fayalite,n.,"A black, greenish, or brownish mineral of the chrysolite group. It is a silicate of iron."
Fayence,Fayence,n.,See Fa/ence.
Faytour,Faytour,n.,See Faitour.
Faze,Déconcerter,v. t.,See Feeze.
Fazzolet,Fazzolet,n.,A handkerchief.
Feaberry,Feaberry,n.,A gooseberry.
Feague,Fague,v. t.,To beat or whip; to drive.
Feal,Feal,a.,Faithful; loyal.
Fealty,Fidélité,n.,"Fidelity to one's lord; the feudal obligation by which the tenant or vassal was bound to be faithful to his lord; the special oath by which this obligation was assumed; fidelity to a superior power, or to a government; loyality. It is no longer the practice to exact the performance of fealty, as a feudal obligation."
Fear,Peur,n.,"A variant of Fere, a mate, a companion."
Feared,Craignait,imp. & p. p.,of Fear
Fearing,Craignant,p. pr. & vb. n.,of Fear
Fearer,peur,n.,One who fars.
Fearful,Craintif,a.,"Full of fear, apprehension, or alarm; afraid; frightened."
Fearfully,Craintivement,adv.,In a fearful manner.
Fearfulness,La peur,n.,The state of being fearful.
Fearless,Intrépide,a.,Free from fear.
Fearnaught,Fearnaught,n.,A fearless person.
Fearsome,redoutable,a.,Frightful; causing fear.
Feasibilities,Faisabilités,pl. ,of Feasibility
Feasibility,Faisabilité,n.,"The quality of being feasible; practicability; also, that which is feasible; as, before we adopt a plan, let us consider its feasibility."
Feasible,Réalisable,a.,"Capable of being done, executed, or effected; practicable."
Feast,Le banquet,n.,"A festival; a holiday; a solemn, or more commonly, a joyous, anniversary."
Feasted,festoyé,imp. & p. p.,of Feast
Feasting,Festin,p. pr. & vb. n.,of Feast
Feaster,Fête,n.,One who fares deliciously.
Feastful,Festin,a.,Festive; festal; joyful; sumptuous; luxurious.
Feat,Exploit,n.,An act; a deed; an exploit.
Feat-bodied,Au corps de prouesse,a.,Having a feat or trim body.
Feateous,Featous,a.,Dexterous; neat.
Feather,La plume,n.,"One of the peculiar dermal appendages, of several kinds, belonging to birds, as contour feathers, quills, and down."
Feathered,À plumes,imp. & p. p.,of Feather
Feathering.,Plumage.,p. pr. & vb. n.,of Feather
Feather-brained/,Cerveau de plumes/,a.,Giddy; frivolous; feather-headed.
Feather-edge/,Le tranchant de la plume/,n.,"The thin, new growth around the edge of a shell, of an oyster."
Feather-edged/,Bordé de plumes/,a.,"Having a feather-edge; also, having one edge thinner than the other, as a board; -- in the United States, said only of stuff one edge of which is made as thin as practicable."
Feather-few/,Plume-peu/,n.,Feverfew.
Feather-foil,Plume-feuille,n.,"An aquatic plant (Hottonia palustris), having finely divided leaves."
Feather-head,Tête de plume,n.,A frivolous or featherbrained person.
Feather-headed,à tête de plume,a.,Giddy; frivolous; foolish.
Feather-heeled,À talons plumes,a.,Light-heeled; gay; frisky; frolicsome.
Featherness,Plumage,n.,The state or condition of being feathery.
Feathering,Plumage,n.,Same as Foliation.
Featherless,Sans plumes,a.,Destitute of feathers.
Featherly,Plumes,a.,Like feathers.
Feather-pated,Plumé,a.,Feather-headed; frivolous.
Feather-veined,Nervuré de plumes,a.,Having the veins (of a leaf) diverging from the two sides of a midrib.
Feathery,à plumes,a.,"Pertaining to, or resembling, feathers; covered with, or as with, feathers; as, feathery spray or snow."
Featly,féroce,a.,Neatly; dexterously; nimbly.
Featness,L'exploit,n.,Skill; adroitness.
Feature,Caractéristique,n.,"The make, form, or outward appearance of a person; the whole turn or style of the body; esp., good appearance."
Featured,Mis en exergue,a.,Shaped; fashioned.
Featureless,Sans caractéristique,a.,Having no distinct or distinctive features.
Featurely,En vedette,a.,Having features; showing marked peculiarities; handsome.
Feazed,redouté,imp. & p. p.,of Feaze
Feazing,Feasing,p. pr. & vb. n.,of Feaze
Feaze,Feaze,v. t.,"To untwist; to unravel, as the end of a rope."
Feazings,intuitions,v. t.,The unlaid or ragged end of a rope.
Febricitate,Fébricite,v. i.,To have a fever.
Febriculose,Fébriculose,a.,Somewhat feverish.
Febrifacient,Fébrifiant,a.,Febrific.
Febriferous,fébrifère,a.,"Causing fever; as, a febriferous locality."
Febrific,fébrific,a.,Producing fever.
Febrifugal,fébrifuge,a.,Having the quality of mitigating or curing fever.
Febrifuge,Fébrifuge,n.,A medicine serving to mitigate or remove fever.
Febrile,Fébrile,a.,"Pertaining to fever; indicating fever, or derived from it; as, febrile symptoms; febrile action."
February,février,n.,"The second month in the year, said to have been introduced into the Roman calendar by Numa. In common years this month contains twenty-eight days; in the bissextile, or leap year, it has twenty-nine days."
Februation,La fébration,n.,Purification; a sacrifice.
Fecal,Fécale,a.,"relating to, or containing, dregs, feces, or ordeure; faecal."
Fecche,Feche,v. t.,To fetch.
Feces,Fèces,n. pl.,dregs; sediment; excrement. See FAeces.
Fecial,Fécial,a.,"Pertaining to heralds, declarations of war, and treaties of peace; as, fecial law."
Fecifork,Fecifork,n.,The anal fork on which the larvae of certain insects carry their faeces.
Feckless,Incapable,a.,Spiritless; weak; worthless.
Fecks,Fecks,n.,A corruption of the word faith.
FeculAe,FeculAe,pl. ,of Fecula
Fecula,fécule,n.,"Any pulverulent matter obtained from plants by simply breaking down the texture, washing with water, and subsidence."
Feculence,Féculence,n.,The state or quality of being feculent; muddiness; foulness.
Feculency,Féculence,n.,Feculence.
Feculent,Féculent,a.,Foul with extraneous or impure substances; abounding with sediment or excrementitious matter; muddy; thick; turbid.
Fecund,Fécond,a.,Fruitful in children; prolific.
Fecundated,fécondé,imp. & p. p.,of Fecundate
Fecundating,fécondant,p. pr. & vb. n.,of Fecundate
Fecundate,Féconder,v. t.,To make fruitful or prolific.
Fecundation,Fécondation,n.,"The act by which, either in animals or plants, material prepared by the generative organs the female organism is brought in contact with matter from the organs of the male, so that a new organism results; impregnation; fertilization."
Fecundify,féconder,v. t.,To make fruitful; to fecundate.
Fecundity,Fécondité,n.,"The quality or power of producing fruit; fruitfulness; especially (Biol.), the quality in female organisms of reproducing rapidly and in great numbers."
Fed,nourris,,imp. &amp; p. p. of Feed.
Fedary,Fédary,n.,A feodary.
Federal,Fédéral,a.,"Pertaining to a league or treaty; derived from an agreement or covenant between parties, especially between nations; constituted by a compact between parties, usually governments or their representatives."
Federalism,Fédéralisme,n.,the principles of Federalists or of federal union.
Federalist,Fédéraliste,n.,"An advocate of confederation; specifically (Amer. Hist.), a friend of the Constitution of the United States at its formation and adoption; a member of the political party which favored the administration of president Washington."
Federalized,Fédéralisé,imp. & p. p.,of Federalize
Federalizing,Fédéraliser,p. pr. & vb. n.,of Federalize
Federalize,Fédéraliser,v. t.,"To unite in compact, as different States; to confederate for political purposes; to unite by or under the Federal Constitution."
Federary,Fédéral,n.,A partner; a confederate; an accomplice.
Federate,Fédérer,a.,"United by compact, as sovereignties, states, or nations; joined in confederacy; leagued; confederate; as, federate nations."
Federation,Fédération,n.,The act of uniting in a league; confederation.
Federative,Fédératif,a.,Uniting in a league; forming a confederacy; federal.
Fedity,Fédéité,n.,Turpitude; vileness.
Fee,Frais,n.,property; possession; tenure.
Feed,Alimentation,imp. & p. p.,of Fee
Feeing,Frais,p. pr. & vb. n.,of Fee
Feeble,Faible,superl.,Deficient in physical strength; weak; infirm; debilitated.
Feeble-minded,Faible d'esprit,a.,Weak in intellectual power; wanting firmness or constancy; irresolute; vacilating; imbecile.
Feebleness,Faiblesse,n.,The quality or condition of being feeble; debility; infirmity.
Feebly,faiblement,adv.,In a feeble manner.
